"Column A Destination ZIP Codes","Column B Label Container To"
"	15204, 15220, 15242","	PITTSBURGH PA 15220"
"	15213, 15260-15261","	PITTSBURGH PA 15213"
"	15225, 15233","	PITTSBURGH PA 15233"
"	15250-15255, 15257-15258, 15262, 15264-15265, 15267-15268, 15270, 15272, 15274, 15278-15279, 15281-15282, 15286, 15290, 15295","	PITTSBURGH PA 15290"
"	15417, 15427, 15433, 15442","	BROWNSVILLE PA 15417"
"	15501-15502, 15510, 15555","	SOMERSET PA 15501"
"	15531, 15546","	BOSWELL PA 15531"
"	15541, 15549","	FREIDENS PA 15541"
"	15545, 15564","	HYNDMAN PA 15545"
"	15548, 15563","	STOYSTOWN PA 15563"
"	15558, 15565","	SALISBURY PA 15558"
"	15701, 15705","	INDIANA PA 15701"
"	15713, 15748","	HOMER CITY PA 15748"
"	15714, 15760","	NORTHERN CAMBRIA PA 15714"
"	15717, 15750","	BLAIRSVILLE PA 15717"
"	15721, 15724","	CHERRY TREE PA 15724"
"	15728, 15761","	CLYMER PA 15728"
"	15730, 15763, 15767, 15776, 15784","	PUNXSUTAWNEY PA 15767"
"	15732, 15739","	CREEKSIDE PA 15732"
"	15758, 15771","	ROCHESTER MILLS PA 15771"
"	15822, 15853","	RIDGWAY PA 15853"
"	15828, 15860","	SIGEL PA 15860"
"	15848, 15866","	LUTHERSBURG PA 15848"
"	15901, 15905, 15909, 15915, 15945","	JOHNSTOWN PA 15901"
"	15902, 15904, 15906-15907","	JOHNSTOWN PA 15902"
"	15935, 15953","	HOLLSOPPLE PA 15935"
"	15957, 15960","	TWIN ROCKS PA 15960"
"	16001-16003","	BUTLER PA 16001"
"	16016-16018, 16020","	BOYERS PA 16020"
"	16101, 16103, 16107-16108","	NEW CASTLE PA 16108"
"	16102, 16105","	NEW CASTLE PA 16102"
"	16142, 16172","	NEW WILMINGTON PA 16142"
"	16226, 16228","	FORD CITY PA 16226"
"	16235, 16257","	LUCINDA PA 16235"
"	16242, 16253","	NEW BETHLEHEM PA 16242"
"	16259, 16261","	TEMPLETON PA 16259"
"	16321-16322","	ENDEAVOR PA 16322"
"	16335, 16388","	MEADVILLE PA 16335"
"	16365-16367","	WARREN PA 16365"
"	16401, 16475","	ALBION PA 16401"
"	16411, 16430","	EAST SPRINGFIELD PA 16411"
"	16412, 16444","	EDINBORO PA 16412"
"	16501, 16507","	ERIE PA 16501"
"	16502, 16508","	ERIE PA 16508"
"	16503-16504","	ERIE PA 16503"
"	16506, 16553","	ERIE PA 16506"
"	16510-16511","	ERIE PA 16510"
"	16512, 16514-16515, 16530-16531, 16534, 16538, 16541, 16544, 16546, 16550, 16563, 16565","	ERIE PA 16512"
"	16601-16603","	ALTOONA PA 16601"
"	16613, 16629","	ASHVILLE PA 16613"
"	16621, 16685","	BROADTOP PA 16621"
"	16625, 16670, 16682","	CLAYSBURG PA 16625"
"	16630, 16699","	CRESSON PA 16630"
"	16638, 16657","	JAMES CREEK PA 16657"
"	16645, 16656","	IRVONA PA 16656"
"	16646, 16675","	HASTINGS PA 16646"
"	16651, 16698","	HOUTZDALE PA 16651"
"	16652, 16654","	HUNTINGDON PA 16652"
"	16728, 16735","	KANE PA 16735"
"	16801-16803","	STATE COLLEGE PA 16801"
"	16804-16805","	STATE COLLEGE PA 16804"
"	16822, 16864","	BEECH CREEK PA 16822"
